codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P011,Tabaco y otras plantas no perennes,0,0,0,0,0,0,0.00843019724689796,0,0,0,0.0231821150444579,0,0,0,0.000451877232081204,0,0,0,0.0025837877131242,0,0.0148643017916931,0.0028875714800699,0,0.175961943313468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063276569374299,0.00558287200200506,0,0,0,0,0,0,6.3602121014084e-05,2.03832975057909e-08,0.279870216304149,0,0,0,0.078474560573409,0.00467351158223963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157073126049732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049476681098352,0,0,0,0,0,0,0,0,3.31291932625354e-05,0,0,0,0,0,0,0,0,0.000727923349174381,0,0,0,0,0,0,0,7.84746351115171e-06,0,0,0,0,0,0,0,0,0,0,0,4.90709203258859e-05,0,0,0,0,0,6.61268872416609e-07,0,3.6020928482897e-09,0,0,0,6.67069662618028e-07,0,0.00224848701460769,0.000119632900533933,0,0,0.000261875139311225,0,0,0
P012,"Bananos, plátanos y otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042924256791066,0,0,0,0,0,0,0,0,0,0,0,0.002148366855145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154730032734563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60169644260522e-06,0,2.81231897205224e-05,0.000157955747973402,0,0,0,0,0,0
P013,Frutas tropicales y subtropicales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0415950977024905,0.0908361432580344,0,0,0,0.000763727241323346,0,0,0,1.63915152952938e-05,0,0,0.0005792076832278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001982354321468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89873041996043e-07,0,3.85701478656563e-05,0.000196046074025386,0,0,0,0,0,0
P014,"Berries, otras frutas y semillas de frutas",0,0,0,0,0,0,0.0214114219400881,0,0,0,0,0,0.00617746802559555,0.00681182496039703,0,0,0,0,0.000443422905245053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543532666215715,0.0852865241566665,2.0455993977333e-05,0,0.00267984950162584,0.00250240875417053,0,0,0,3.06512735561358e-05,0,0,0.00156274567838795,0,0.000170748797947329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69091395876153e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511076921786885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78419774423551e-06,0,0.000127968848065371,6.71419727397039e-05,0,0,0,0,0,0
P015,Palma africana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898758314962917,0,0,0,0.00104763087503437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328049874021969,0.281976951455411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P016,Café en grano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390543658824332,0,0,4.3997506978849e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533347435240298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09476372887483e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P017,Cardamomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307452707418859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102028859059778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P018,Caucho natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365266545647976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00432248492052604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012497494744189,0,0,0,0,0,0,0,0,0,0.000235551427491323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P019,Propagación de plantas,0,0,0,0,0,0.016633416552211,0.010925637326797,0.0105394264135667,0.0137031480194256,0.00305917469141794,0.0168611662735159,0.00484668409591527,0.0144674292733527,0.00410943803850083,0.00391432660065284,0.0018954147745686,0.00325186976058013,0.00209963269739876,0.0193455946027366,0.09297680486266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08579751202736e-08,0,0.0002270976455655,0,0,0,0,0,0,0,9.4447231005987e-07,0,0,4.02901623113024e-06,0,0,0,0,0,0,0,0,0,0
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08252662666311e-05,0,0,0.000649779926452367,0.00772015822635335,0.000326027240922777,0,0,0,0,0,0,0,0,0,0,0.00917018472228749,0,8.34793294425756e-05,0.00133221023206066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000412453790123061,0,0,0,0,0,0,0,0,1.06924953660558e-07,0,0,0,0,0,0,0,0,0.00076226918359999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04348167231588e-07,0,0.00314255530036079,0,0,0,0,0,0,0
P021,Ganado bovino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616584332025761,0,0,0.000379405462308866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0,0,0,0,0,0,0.000241473797754023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669318457515959,0,0.133335095262116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P023,Aves de corral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136768865267748,0,0,0,0,0,0,0,0,0,0,0,0,0.607404594172947,0.0635936036863593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59715389217759e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P024,Leche cruda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371651838011517,0.344607405667599,0,0,0,0,0,0,0.000341459219173712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P025,Huevos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00574776962016941,0,0,0,0,0,0.000102569327290366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109264891253898,0,0,0,0,0,0,0.0233438295019038,0,0,0.00132857792349414,0,0.000516651959834661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02688834734456e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651217968332766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76060874511194e-05,0,0,0,0,0,0,0
P026,Otros productos de animales vivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105081110432256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005797478647411,0,0,0,0,0,5.9847103462315e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119443435503455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62171068470856e-08,0,0,0,0,0,0,0,0,0
