codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P011,Tabaco y otras plantas no perennes,0,0,0,0,0,0,3.55267278396918,0,0,0,6.73593971314286,0,0,0,0.585251743442874,0,0,0,0.669740079913194,0,39.3013231816372,2.43914391442768,0,201.770253527616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05575455906881,6.67496336011003,0,0,0,0,0,0,0.442135935558064,8.07826231296603e-05,400.714132415425,0,0,0,99.8299311011417,12.6320789006954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638229616970702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23452715997556,0,0,0,0,0,0,0,0,2.22156250935904,0,0,0,0,0,0,0,0,6.75726021882208,0,0,0,0,0,0,0,0.0549141401395325,0,0,0,0,0,0,0,0,0,0,0,0.051175199382373,0,0,0,0,0,0.00446881124073762,0,9.7039025923481e-06,0,0,0,0.00194267567554227,0,2.718615278938,0.119588785227189,0,0,1.26920257358014,0,0,0
P012,"Bananos, plátanos y otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.353928609105,0,0,0,0,0,0,0,0,0,0,0,15.3525907346747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3463986743032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102447917630956,0,0.0748719645458719,0.346791998334105,0,0,0,0,0,0
P013,Frutas tropicales y subtropicales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7345393531067,102.286830310206,0,0,0,1.47654424782087,0,0,0,0.124583420909886,0,0,4.12309219435387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.3682073106692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375562947401534,0,0.102723799179481,0.428442997574106,0,0,0,0,0,0
P014,"Berries, otras frutas y semillas de frutas",0,0,0,0,0,0,12.5838649642138,0,0,0,0,0,5.76074220046596,9.82262301329133,0,0,0,0,0.0652272581047775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7529357983365,77.156780996391,0.0667864887468832,0,2.18989359202676,3.79326691430477,0,0,0,0.156231875204214,0,0,7.76485164379358,0,0.170155100618065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00408309062603381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.4374617439421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195859469583085,0,0.247348063489195,0.102056163545928,0,0,0,0,0,0
P015,Palma africana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8419241869196,0,0,0,0.447902432427648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476.91225505034,310.64081614543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P016,Café en grano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3769.99136489096,0,0,0.010866851253451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381.429028675148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574532236419802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P017,Cardamomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.390521676761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2902509965281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P018,Caucho natural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.29577753042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9753515519766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89668240207157,0,0,0,0,0,0,0,0,0,1.87869431254563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P019,Propagación de plantas,0,0,0,0,0,84.0123181048462,13.2247051478114,7.79752242645196,22.9788758981441,18.3092728879931,17.1410019989173,21.2509843632937,23.2671707576083,6.85168988553446,8.81766332364565,17.6176896212076,7.08501626506123,5.87167141034745,7.62803127221929,20.9896565528651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99066087124144e-05,0,0.47793924291422,0,0,0,0,0,0,0,0.0030230508537511,0,0,0.0734343883858228,0,0,0,0,0,0,0,0,0,0
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261118896264209,0,0,0.656352275946749,5.98878420309145,0.370195957088687,0,0,0,0,0,0,0,0,0,0,42.8513858825572,0,0.0929168575291432,0.328913869863979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568664596960317,0,0,0,0,0,0,0,0,0.0109110112890767,0,0,0,0,0,0,0,0,9.92807978443809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147911392795377,0,1.58742554787038,0,0,0,0,0,0,0
