origen,producto_insumo_codigo,producto_insumo,producto_destino_codigo,producto_destino,valor_millones_quetzales
domestico,P001,Maíz,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,0
domestico,P001,Maíz,P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",0
domestico,P001,Maíz,P083,Productos metálicos estructurales y sus partes de hierro o de acero,0
domestico,P001,Maíz,P084,Otros productos elaborados de metal,0
domestico,P001,Maíz,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",0
domestico,P001,Maíz,P086,Electrodomésticos y sus partes,0
domestico,P001,Maíz,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0
domestico,P001,Maíz,P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",0
domestico,P001,Maíz,P089,"Equipo y aparatos de radio, televisión y comunicaciones",0
domestico,P001,Maíz,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",0
domestico,P001,Maíz,P091,Equipo de transporte,0
domestico,P001,Maíz,P092,Muebles,0
domestico,P001,Maíz,P093,Otros artículos n.c.p.,0
domestico,P001,Maíz,P094,Residuos y desechos,0
domestico,P001,Maíz,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",0
domestico,P001,Maíz,P096,Agua natural y distribución de agua natural,0
domestico,P001,Maíz,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",0
domestico,P001,Maíz,P098,Edificaciones residenciales,0
domestico,P001,Maíz,P099,Edificaciones no residenciales,0
domestico,P001,Maíz,P100,Obras de ingeniería civil,0
domestico,P001,Maíz,P101,Servicios generales y especializados de construcción,0
domestico,P001,Maíz,P102,Servicios de comercio,0
domestico,P001,Maíz,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,0
domestico,P001,Maíz,P104,Servicio de transporte de pasajeros por vía terrestre,0
domestico,P001,Maíz,P105,Servicio de transporte de carga por vía terrestre,0
domestico,P001,Maíz,P106,Otros tipos de transporte,0
domestico,P001,Maíz,P107,Servicios de almacenamiento y depósito,0
domestico,P001,Maíz,P108,Otros servicios de apoyo al transporte,0
domestico,P001,Maíz,P109,Servicios postales y de mensajería,0
domestico,P001,Maíz,P110,Servicio de alojamiento,0
domestico,P001,Maíz,P111,Servicio de suministro de comidas y bebidas,12.3871629782432
domestico,P001,Maíz,P112,"Servicios de información, telecomunicaciones y radiodifusión",0
domestico,P001,Maíz,P113,Servicios de banco central,0
domestico,P001,Maíz,P114,Otros servicios financieros y servicios de banca de inversión,0
domestico,P001,Maíz,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),0
domestico,P001,Maíz,P116,"Servicios de seguro, reaseguro y fondos de pensiones",0
domestico,P001,Maíz,P117,Servicios auxiliares de la intermediación financiera,0
domestico,P001,Maíz,P118,Servicios de alquiler de vivienda,0
domestico,P001,Maíz,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",0
domestico,P001,Maíz,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",0
domestico,P001,Maíz,P121,Servicios de tecnología de la información,0
domestico,P001,Maíz,P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",0
domestico,P001,Maíz,P123,"Otros servicios profesionales, científicos y técnicos",0
domestico,P001,Maíz,P124,Servicios de publicidad y estudios de mercado,0
domestico,P001,Maíz,P125,Servicios de arrendamiento o alquiler sin operador,0
domestico,P001,Maíz,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,0
domestico,P001,Maíz,P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",0
domestico,P001,Maíz,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",0
domestico,P001,Maíz,P129,Servicios de limpieza,0
domestico,P001,Maíz,P130,Servicios telefónicos de centros de llamadas,0
domestico,P001,Maíz,P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",0
domestico,P001,Maíz,P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",0
domestico,P001,Maíz,P133,Servicios de reparación de otros bienes,0
domestico,P001,Maíz,P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",0
domestico,P001,Maíz,P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",0
domestico,P001,Maíz,P136,Servicios de manufactura,0
domestico,P001,Maíz,P137,Servicios públicos del gobierno general,0
domestico,P001,Maíz,P138,"Servicios públicos administrativos relacionados con la provisión de servicios educativos, de salud, servicios sociales, culturales y otros, sin contar los servicios de seguridad social",0
domestico,P001,Maíz,P139,Otros servicios administrativos,0
domestico,P001,Maíz,P140,Servicios públicos administrativos prestados a la comunidad en su conjunto,0
domestico,P001,Maíz,P141,Servicios administrativos relacionados con los sistemas de seguridad social de afiliación obligatoria,0
domestico,P001,Maíz,P142,Servicios de enseñanza,0
domestico,P001,Maíz,P143,Servicios de hospitalización,7.09818727291424e-05
domestico,P001,Maíz,P144,Servicios médicos y dentales,0
domestico,P001,Maíz,P145,Otros servicios de atención de la salud humana,0.0153153956231828
domestico,P001,Maíz,P146,"Servicios audiovisuales, recreativos, culturales y deportivos",0
domestico,P001,Maíz,P147,Servicios de asociaciones que sirven a las empresas,0
domestico,P001,Maíz,P148,Servicios de asociaciones que sirven a los hogares,0
domestico,P001,Maíz,P149,Otros servicios,0
domestico,P001,Maíz,P150,Servicios domésticos,0
domestico,P001,Maíz,P151,Compras directas en el exterior por residentes,0
domestico,P001,Maíz,P152,Compras directas en el territorio nacional por no residentes,0
domestico,P002,Frijoles,P001,Maíz,0
domestico,P002,Frijoles,P002,Frijoles,69.4535819365294
domestico,P002,Frijoles,P003,Leguminosas (legumbres secas) y semillas oleaginosas,0
domestico,P002,Frijoles,P004,Arroz,0
domestico,P002,Frijoles,P005,Otros cereales,0
domestico,P002,Frijoles,P006,Hortalizas,0
domestico,P002,Frijoles,P007,Sandías y melones,0
domestico,P002,Frijoles,P008,Ejotes y arvejas,0
domestico,P002,Frijoles,P009,Raíces y tubérculos,0
domestico,P002,Frijoles,P010,Caña de azúcar y otras plantas azucareras,0
domestico,P002,Frijoles,P011,Tabaco y otras plantas no perennes,0
