origen,codigo,producto,componente,valor_publicado_millones_quetzales,multiplicador_contable,valor_aplicado_millones_quetzales
domestico,P066,Productos de la edición,exportaciones_fob,60.0900138920655,1,60.0900138920655
domestico,P067,Productos de la impresión,exportaciones_fob,99.9974932247397,1,99.9974932247397
domestico,P068,"Gasolinas, diésel oil y fuel oils",exportaciones_fob,0,1,0
domestico,P069,"Aceites, grasas lubricantes y otros aceites preparados",exportaciones_fob,0,1,0
domestico,P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",exportaciones_fob,33.2212436802999,1,33.2212436802999
domestico,P071,"Abonos, fertilizantes y pesticidas",exportaciones_fob,1014.1165332776,1,1014.1165332776
domestico,P072,"Pinturas, barnices, tintas y productos relacionados",exportaciones_fob,359.2331302035,1,359.2331302035
domestico,P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",exportaciones_fob,1746.73381511222,1,1746.73381511222
domestico,P074,Otros productos químicos,exportaciones_fob,2109.28530085799,1,2109.28530085799
domestico,P075,Productos farmacéuticos,exportaciones_fob,999.6227423771,1,999.6227423771
domestico,P076,Productos de caucho y plástico,exportaciones_fob,2100.62313076026,1,2100.62313076026
domestico,P077,Vidrio y productos de vidrio,exportaciones_fob,373.003640184484,1,373.003640184484
domestico,P078,Productos de cerámica y arcilla,exportaciones_fob,373.8226832846,1,373.8226832846
domestico,P079,"Cemento, cal y yeso",exportaciones_fob,87.70775,1,87.70775
domestico,P080,"Artículos de hormigón, cemento y yeso",exportaciones_fob,18.3841056944,1,18.3841056944
domestico,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,exportaciones_fob,16.52779202,1,16.52779202
domestico,P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",exportaciones_fob,1502.2911341287,1,1502.2911341287
domestico,P083,Productos metálicos estructurales y sus partes de hierro o de acero,exportaciones_fob,133.1637270694,1,133.1637270694
domestico,P084,Otros productos elaborados de metal,exportaciones_fob,889.595363418902,1,889.595363418902
domestico,P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",exportaciones_fob,258.040716540965,1,258.040716540965
domestico,P086,Electrodomésticos y sus partes,exportaciones_fob,0,1,0
domestico,P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",exportaciones_fob,0,1,0
domestico,P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",exportaciones_fob,146.905035086531,1,146.905035086531
domestico,P089,"Equipo y aparatos de radio, televisión y comunicaciones",exportaciones_fob,0,1,0
domestico,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",exportaciones_fob,0,1,0
domestico,P091,Equipo de transporte,exportaciones_fob,107.991274686602,1,107.991274686602
domestico,P092,Muebles,exportaciones_fob,342.268871067195,1,342.268871067195
domestico,P093,Otros artículos n.c.p.,exportaciones_fob,148.5893441326,1,148.5893441326
domestico,P094,Residuos y desechos,exportaciones_fob,501.712868196362,1,501.712868196362
domestico,P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",exportaciones_fob,219.596391914399,1,219.596391914399
domestico,P096,Agua natural y distribución de agua natural,exportaciones_fob,0,1,0
domestico,P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",exportaciones_fob,0,1,0
domestico,P098,Edificaciones residenciales,exportaciones_fob,0,1,0
domestico,P099,Edificaciones no residenciales,exportaciones_fob,0,1,0
domestico,P100,Obras de ingeniería civil,exportaciones_fob,0,1,0
domestico,P101,Servicios generales y especializados de construcción,exportaciones_fob,214.567115740813,1,214.567115740813
domestico,P102,Servicios de comercio,exportaciones_fob,2563.76650795549,1,2563.76650795549
domestico,P103,Mantenimiento y reparación de vehículos automotores y motocicletas,exportaciones_fob,5.22663582912429,1,5.22663582912429
domestico,P104,Servicio de transporte de pasajeros por vía terrestre,exportaciones_fob,5.23942259525629,1,5.23942259525629
domestico,P105,Servicio de transporte de carga por vía terrestre,exportaciones_fob,1026.32459002887,1,1026.32459002887
domestico,P106,Otros tipos de transporte,exportaciones_fob,124.339003792286,1,124.339003792286
domestico,P107,Servicios de almacenamiento y depósito,exportaciones_fob,1.62989373,1,1.62989373
domestico,P108,Otros servicios de apoyo al transporte,exportaciones_fob,1728.15969005828,1,1728.15969005828
domestico,P109,Servicios postales y de mensajería,exportaciones_fob,43.1026842901674,1,43.1026842901674
domestico,P110,Servicio de alojamiento,exportaciones_fob,0,1,0
domestico,P111,Servicio de suministro de comidas y bebidas,exportaciones_fob,33.3248228836982,1,33.3248228836982
domestico,P112,"Servicios de información, telecomunicaciones y radiodifusión",exportaciones_fob,3535.47833665048,1,3535.47833665048
domestico,P113,Servicios de banco central,exportaciones_fob,0,1,0
domestico,P114,Otros servicios financieros y servicios de banca de inversión,exportaciones_fob,63.7785505790595,1,63.7785505790595
domestico,P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),exportaciones_fob,131.671668258195,1,131.671668258195
domestico,P116,"Servicios de seguro, reaseguro y fondos de pensiones",exportaciones_fob,236.779837858047,1,236.779837858047
domestico,P117,Servicios auxiliares de la intermediación financiera,exportaciones_fob,2.120522,1,2.120522
domestico,P118,Servicios de alquiler de vivienda,exportaciones_fob,0,1,0
domestico,P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",exportaciones_fob,0,1,0
domestico,P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",exportaciones_fob,8.86394942697256,1,8.86394942697256
domestico,P121,Servicios de tecnología de la información,exportaciones_fob,317.314047420089,1,317.314047420089
domestico,P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",exportaciones_fob,9.315264114381,1,9.315264114381
domestico,P123,"Otros servicios profesionales, científicos y técnicos",exportaciones_fob,227.099116289575,1,227.099116289575
domestico,P124,Servicios de publicidad y estudios de mercado,exportaciones_fob,37.8361698055693,1,37.8361698055693
domestico,P125,Servicios de arrendamiento o alquiler sin operador,exportaciones_fob,121.028423234524,1,121.028423234524
domestico,P126,Servicios  de agencias de empleo y de dotación de recursos humanos,exportaciones_fob,0,1,0
domestico,P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",exportaciones_fob,443.798532803681,1,443.798532803681
domestico,P128,"Servicios de seguridad, sistemas de seguridad e investigación privada",exportaciones_fob,8.047698137,1,8.047698137
domestico,P129,Servicios de limpieza,exportaciones_fob,0,1,0
domestico,P130,Servicios telefónicos de centros de llamadas,exportaciones_fob,1847.95444488644,1,1847.95444488644
domestico,P131,"Servicios administrativos, de apoyo de oficina y otros servicios de apoyo a las empresas",exportaciones_fob,117.760099093287,1,117.760099093287
domestico,P132,"Servicios de mantenimiento, reparación e instalación de productos metálicos elaborados, maquinaria y equipo",exportaciones_fob,105.466978248665,1,105.466978248665
domestico,P133,Servicios de reparación de otros bienes,exportaciones_fob,0,1,0
domestico,P134,"Servicios de apoyo a la agricultura, caza, silvicultura y pesca",exportaciones_fob,0,1,0
domestico,P135,"Servicios de apoyo a la explotación de minas y canteras y los relacionados con la distribución de electricidad, gas y agua",exportaciones_fob,0,1,0
