indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,122,122,P042,Jugos de frutas,False,True,apto,0.688934210459646
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,123,123,P092,Muebles,False,True,apto,0.687594718836001
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,124,124,P149,Otros servicios,False,True,apto,0.687421712345741
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,125,125,P005,Otros cereales,False,True,apto,0.686696822364522
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,126,126,P127,"Servicios de agencias de viajes, operadores turísticos y actividades conexas",False,True,apto,0.685055680829526
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,127,127,P048,Arroz sin cáscara,False,True,apto,0.683057165877183
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,128,128,P038,"Pescado congelado, preparado o en conserva y sus productos",False,True,apto,0.683040595243491
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,129,129,P028,Productos forestales no madereros,False,True,apto,0.682504118012018
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,130,130,P056,Malta y cerveza de malta,False,True,apto,0.682443391447729
indice_dispersion_adelante_rh_normalizado,Índice de sensibilidad de dispersión hacia adelante RH (filas de L),índice; media = 1,codigo_ascendente,131,131,P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",False,True,apto,0.682383095609027
