codigo,producto,produccion_precios_basicos,total_utilizacion_precios_basicos,diferencia_produccion_utilizacion,producto_interno_bruto,puestos_trabajo
P057,Bebidas no alcohólicas,7152.15783005107,7152.15783005108,-1.36424205265939e-11,7230.66184138165,3639
P058,Aguas minerales y otras aguas embotelladas,1151.29063086204,1151.29063086211,-6.79847289575264e-11,1158.75290935848,1322
P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",4618.59482054646,4618.59482052871,1.7751517589204e-08,4662.30274274152,35729
P060,"Prendas de vestir, adobo y teñido de pieles",6479.82900663765,6479.82900663961,-1.95632310351357e-09,6551.66592445795,41810
P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,1141.11861654632,1141.11861654634,-2.31921148952097e-11,1149.33634061463,9525
P062,"Calzado y sus partes, de cualquier material y de cualquier uso",1371.70396926863,1371.70396926866,-3.18323145620525e-11,1384.51888188568,8823
P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",3232.63126109632,3232.63126109635,-2.45563569478691e-11,3258.38594651011,19893
P064,Pasta de papel y papel,1609.07354557538,1609.07354557564,-2.58296495303512e-10,1623.88440730861,2646
P065,Envases de papel y cartón,2720.92212793035,2720.92212793054,-1.95996108232066e-10,2742.60466627575,6006
P066,Productos de la edición,1307.7268477696,1307.72684776933,2.68073563347571e-10,1317.23053697041,2335
P067,Productos de la impresión,1683.71545512565,1683.71545512564,7.50333128962666e-12,1703.16907901755,8082
P068,"Gasolinas, diésel oil y fuel oils",119.18752554828,119.187525548305,-2.45705678025843e-11,119.745366591542,36
P069,"Aceites, grasas lubricantes y otros aceites preparados",0,0,0,0,0
P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",187.927719220119,187.927719220372,-2.52043719228823e-10,189.882682184441,39
P071,"Abonos, fertilizantes y pesticidas",4425.01008551088,4425.01008551092,-3.91082721762359e-11,4454.22163500914,2727
