codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente
P047,Harina de trigo,0,9.07587055568422,0.0110764816265099,0,0,0.569812537588787,0,-0,9.65675957489952,9.6567595748995
P048,Arroz sin cáscara,0,23.0073689854856,21.1258753904547,3.80188544501701,0,0.41650060304457,0,-0,48.3516304240018,48.3516304240018
P049,"Otros productos de molinería, almidones y productos de almidón",0,499.650404683484,6.70753419891234,38.564377910336,0,13.0257863769423,0,-0,557.948103169674,557.948103169674
P050,Pan y otros productos de panadería y repostería n.c.p.,0,290.127172547831,0.0120842753026396,0.114344625855562,0,-0.106524552980774,0,-0,290.147076896009,290.147076896009
P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",0,0,0,0,0,0,0,-0,0,0
P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",0,0,9.64135252212207e-19,0,0,-0.0491052629474605,0,-0,-0.0491052629474605,-0.0491052629474602
P053,Productos alimenticios n.c.p.,0,2104.53942072134,8.71328204180938,39.5880033744797,0,-1.33004048737701,0,-0,2151.51066565025,2151.51066565025
P054,Preparados para alimentación animal,0,181.40109139187,0.00354286215544887,0,0,-2.0704711613979,0,-0,179.334163092627,179.334163092627
P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",0,345.030719726518,0,0,0,2.20564740040845,0,-0,347.236367126927,347.236367126927
P056,Malta y cerveza de malta,0,86.8912813649002,0,0,0,49.2556079692453,0,-0,136.146889334146,136.146889334145
P057,Bebidas no alcohólicas,0,510.742388571586,0.867219814721516,0.126613872971256,0,4.09288253900113,0,-0,515.82910479828,515.82910479828
P058,Aguas minerales y otras aguas embotelladas,0,5.54932375432106,0.00218600062709247,0.00378318224633059,0,-0.00135834295029277,0,-0,5.55393459424419,5.55393459424419
P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",0,352.324863327821,0.00356292106260382,0,0,58.4266226840089,0,-0,410.755048932892,410.755048932893
P060,"Prendas de vestir, adobo y teñido de pieles",0,1796.44091650829,2.21163982351532,0,0,12.5101274919302,0,-0,1811.16268382373,1811.16268382373
