codigo,producto,multiplicador_produccion_domestica,encadenamiento_atras_normalizado,encadenamiento_adelante_normalizado,coeficiente_importacion_directa,requerimiento_importacion_total,multiplicador_valor_agregado,multiplicador_empleo_puestos_por_millon
P001,Maíz,1.27092172457894,0.86179914490041,1.05218252018142,0.15016828423575,0.205066341840068,0.827822610636615,176.585134208583
P002,Frijoles,1.366652332949,0.926713100526938,0.746801479393442,0.0833220066064043,0.146196510702537,0.900535949762357,229.803745578357
P003,Leguminosas (legumbres secas) y semillas oleaginosas,1.48260494104398,1.00533938928468,0.850082275470921,0.2010126211828,0.286942369814177,0.706533609791844,168.157147724468
P004,Arroz,1.47336547691917,0.999074202272681,0.821329980088232,0.205847713080351,0.292779689964288,0.698115632897374,31.8228369551219
P005,Otros cereales,1.29213539090717,0.876183917108098,0.686696822364521,0.184194517772796,0.242026894908012,0.751537562697927,153.944503380727
P006,Hortalizas,1.25396852382601,0.850303351233774,0.799774546546802,0.088961389662407,0.141624522021829,0.85180356092365,28.5022870376051
P007,Sandías y melones,1.27887415276141,0.867191605879708,0.679683603551312,0.116649357327296,0.172166820661562,0.821375571778248,28.0639092628854
P008,Ejotes y arvejas,1.23046750913253,0.834367551274226,0.707129463498391,0.0818281348029427,0.129977911325222,0.864122688424764,28.4993991171592
P009,Raíces y tubérculos,1.41625563642363,0.960348598049682,0.728346669884161,0.107780446659485,0.182767932779087,0.808508823791172,24.8730876101376
P010,Caña de azúcar y otras plantas azucareras,1.68693936358318,1.14389649096326,1.27807240764427,0.12487320683092,0.193055768759695,0.791234837613867,15.8151165539673
P011,Tabaco y otras plantas no perennes,1.35096080783035,0.916072836325051,1.06478409057653,0.0905535021114628,0.140407591945312,0.851763595569142,28.2017566241154
P012,"Bananos, plátanos y otros",1.43769407234383,0.974885784240398,0.712334431479581,0.118800310367477,0.202214463162426,0.787681607461893,16.5607414654918
P013,Frutas tropicales y subtropicales,1.19501587919588,0.81032816019776,0.77302412395739,0.0587643220055981,0.0957417377057713,0.899911227809131,43.4810136740547
P014,"Berries, otras frutas y semillas de frutas",1.29096741193776,0.875391922402493,0.777464705713827,0.0911898482729317,0.151811312219625,0.842137539368137,44.6289861702443
P015,Palma africana,1.39211115210022,0.943976467853486,1.22902659714673,0.105891233101788,0.173887322799294,0.817537070104276,14.1846213336816
P016,Café en grano,2.08956023340053,1.41690962357188,1.18207210475477,0.0256977031091731,0.0853621529349077,0.909518994911225,31.0967669827669
P017,Cardamomo,1.81583195822136,1.2312972534925,0.979904481068209,0.032279406793364,0.0854625903369413,0.908592695193989,36.7051084962551
P018,Caucho natural,1.9958577340132,1.35337090809844,1.06047021749734,0.0722185829674842,0.174394380483957,0.811834466898217,11.1215625910017
P019,Propagación de plantas,1.68731144417734,1.14414879504437,0.834725422534063,0.183431901566087,0.276475383646453,0.692506298009736,26.3250590391579
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",1.36629502237008,0.926470811843519,0.68922233736711,0.117526946563748,0.180161513288841,0.805229491602757,38.8075029681485
P021,Ganado bovino,1.29301124049095,0.876777821837055,1.26158207469123,0.0725374315155945,0.125824000637749,0.869428304106766,22.8005081272786
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,1.8547982893645,1.25771992784736,1.2812015454141,0.0456604961930192,0.286923538900291,0.705867065367305,25.1305493060821
P023,Aves de corral,1.97239514159786,1.33746116189642,1.36261020732478,0.0532986431859272,0.300078998715234,0.694499592590092,14.5613797108191
P024,Leche cruda,1.8487218165075,1.25359953316773,1.17514988546136,0.170049010464766,0.351676860744678,0.639527425333583,17.0452813743957
P025,Huevos,1.46938999863841,0.996378470728659,0.709520287712029,0.0364493421445422,0.170660128732304,0.825366991278466,13.2308544623771
P026,Otros productos de animales vivos,1.59059510888455,1.07856642797857,0.691415299469272,0.0408170723245723,0.115241788311209,0.877023316340776,23.4021537637777
P027,Troncos de madera y leña,1.15903914695125,0.785932702566406,1.10789332141538,0.0486088410422384,0.0740810511333994,0.918172837470582,56.1157337423351
P028,Productos forestales no madereros,1.32678000529741,0.899676079118944,0.682504118012017,0.0592951820252806,0.108083565703989,0.881934625163759,44.3971011916315
