codigo,producto,balance_fila_fuente,diferencia_produccion_utilizacion,balance_fila_ajustado,balance_columna
P071,"Abonos, fertilizantes y pesticidas",4.54747350886464e-13,-3.91082721762359e-11,0,0
P072,"Pinturas, barnices, tintas y productos relacionados",0,-6.59383658785373e-12,0,0
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",0,8.54925019666553e-11,0,0
P074,Otros productos químicos,0,-8.66293703438714e-10,0,0
P075,Productos farmacéuticos,0,-4.56293491879478e-09,0,0
P076,Productos de caucho y plástico,0,-1.45519152283669e-10,0,0
P077,Vidrio y productos de vidrio,1.13686837721616e-13,-1.69393388205208e-11,0,0
P078,Productos de cerámica y arcilla,2.27373675443232e-13,3.68345354218036e-11,0,0
P079,"Cemento, cal y yeso",-1.36424205265939e-12,2.71938915830106e-10,0,0
P080,"Artículos de hormigón, cemento y yeso",4.54747350886464e-13,-1.81444193003699e-10,0,0
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,0,-8.01492205937393e-11,0,0
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",-4.54747350886464e-13,-4.10909706261009e-09,0,0
P083,Productos metálicos estructurales y sus partes de hierro o de acero,-1.13686837721616e-13,-7.77617970015854e-11,0,0
P084,Otros productos elaborados de metal,4.54747350886464e-13,-4.76120476378128e-10,0,0
P085,"Maquinaria para usos generales y especiales, sus partes y piezas, excepto electrodomésticos",0,-9.40872268984094e-10,0,0
P086,Electrodomésticos y sus partes,-6.61744490042422e-24,-3.1229548035988e-08,0,0
P087,"Maquinaria de oficina, contabilidad e informática, sus partes y piezas",0,-2.1801414680877e-08,0,0
P088,"Maquinaria y aparatos eléctricos, sus partes y piezas",0,1.3505996321328e-10,0,0
P089,"Equipo y aparatos de radio, televisión y comunicaciones",0,0,0,0
P090,"Aparatos médicos, instrumentos ópticos y de precisión, relojes",0,1.88720150617883e-11,0,0
P091,Equipo de transporte,0,3.12638803734444e-10,0,0
P092,Muebles,0,-2.45563569478691e-11,0,0
P093,Otros artículos n.c.p.,2.27373675443232e-13,2.50793164013885e-10,0,0
P094,Residuos y desechos,2.27373675443232e-13,-3.09228198602796e-11,0,0
P095,"Generación y distribución de energía eléctrica, gas, vapor y aire acondicionado",-1.81898940354586e-12,1.81898940354586e-12,0,0
P096,Agua natural y distribución de agua natural,-9.09494701772928e-13,4.54747350886464e-13,0,0
P097,"Evacuación de aguas residuales, recogida, tratamiento y eliminación de desechos",5.6843418860808e-14,1.13686837721616e-13,0,0
P098,Edificaciones residenciales,0,0,0,0
P099,Edificaciones no residenciales,0,-0.163310865901622,0,0
P100,Obras de ingeniería civil,0,0,0,0
P101,Servicios generales y especializados de construcción,-1.81898940354586e-12,2.11002770811319e-10,0,0
P102,Servicios de comercio,0,-3.91446519643068e-09,0,0
P103,Mantenimiento y reparación de vehículos automotores y motocicletas,0,-7.09405867382884e-11,0,0
P104,Servicio de transporte de pasajeros por vía terrestre,0,-9.09494701772928e-13,0,0
P105,Servicio de transporte de carga por vía terrestre,0,0.189999990836441,0,0
P106,Otros tipos de transporte,0,4.39598750290315e-07,0,0
P107,Servicios de almacenamiento y depósito,-5.6843418860808e-14,-3.76871867047157e-11,0,0
P108,Otros servicios de apoyo al transporte,1.36424205265939e-12,4.82032191939652e-11,0,0
P109,Servicios postales y de mensajería,-1.13686837721616e-13,-1.88720150617883e-11,0,0
P110,Servicio de alojamiento,-3.41060513164848e-13,2.27373675443232e-13,0,0
P111,Servicio de suministro de comidas y bebidas,0,2.5465851649642e-11,0,0
P112,"Servicios de información, telecomunicaciones y radiodifusión",0,-6.18456397205591e-11,0,0
P113,Servicios de banco central,0,0,0,0
P114,Otros servicios financieros y servicios de banca de inversión,2.27373675443232e-13,4.54747350886464e-13,0,0
P115,Servicios de Intermediación Financiera Medidos Indirectamente (SIFMI),0,-2.0190782379359e-10,0,0
P116,"Servicios de seguro, reaseguro y fondos de pensiones",-2.27373675443232e-13,1.59161572810262e-11,0,0
P117,Servicios auxiliares de la intermediación financiera,0,2.72848410531878e-12,0,0
P118,Servicios de alquiler de vivienda,0,-3.63797880709171e-12,0,0
P119,"Otros servicios inmobiliarios, excepto alquiler de vivienda",-1.81898940354586e-12,0,0,0
P120,"Servicios jurídicos, de contabilidad, auditoría, teneduría de libros y consultoría fiscal",-4.54747350886464e-13,6.85304257785901e-10,0,0
P121,Servicios de tecnología de la información,0,-1.45519152283669e-10,0,0
P122,"Servicios de arquitectura e ingeniería, ensayos y análisis técnicos",0,-9.09494701772928e-13,0,0
P123,"Otros servicios profesionales, científicos y técnicos",3.63797880709171e-12,-0.0250000000251021,0,0
P124,Servicios de publicidad y estudios de mercado,9.09494701772928e-13,1.36424205265939e-11,0,0
P125,Servicios de arrendamiento o alquiler sin operador,0,-3.79895936930552e-09,0,0
